URL,ACCION1,ACCION2,ACCION3
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,12,1:0 Tor für Rümelingen,Bryan Maison
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,9,Michy Martins kann am leschte Moment klären,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,8,Großchance für Rümelingen,Etienne Donval
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,3,De Konter ass no engem Miedernacher Korner geschitt,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,3,Et schengt awer weider ze goen, gudd Job vum David. Daum an Luucht ass komm,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,2,An direkt dei eischt Verletzung. De Joao ennerbrescht de Konter mat enger gudder Grätsch m,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,1,No der Trauerminutt geet et mat besse Verspeidung lass,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,1,Anpfiff,präsentiert von
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,News 🤓📝,Sportpolitik: Covid Check und Minister weg,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,News 🤓📝,Ehrenpromotion: Rümelingen jetzt schon Zweiter!,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,90+4,Gelb-Rot für Rümelingen,Bryan Maison
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,62,Gelb für Rümelingen,Bryan Maison
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,59,Gelb für Medernach,Pedro Miguel Ferro Bernardo
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,55,Gelb für Rümelingen,Etienne Donval
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,46,Anpfiff zur 2. Halbzeit,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,45+3,Halbzeit,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,21,Gelb für Medernach,Loïc Parnasse
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,Die Aufstellung für FC Blo-Wäiss Medernach ist eingetragen! 💪,AUFSTELLUNG CHECKEN,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,Die Aufstellung für US Rümelingen ist eingetragen! 💪,AUFSTELLUNG CHECKEN,-
https://www.fupa.net/match/us-ruemelingen-m1-fc-blo-waeiss-medernach-m1-211121,Schau dir hier nochmal alle bisherigen Spiele US Rümelingen gegen FC Blo-Wäiss Medernach an.,👉,ZU DEN DUELLEN
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,90+5,Abpfiff,präsentiert von
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,90+3,2:6 Tor für Schifflingen,Hearvin Djetou
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,88,2:5 Tor für Schifflingen,Glenn Protin
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,79,2:4 Tor für Schifflingen,Glenn Protin
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,63,2:3 Tor für Schifflingen,Frédéric Marques
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,53,2:2 Tor für Weiler,Oğuzhan Kaylesiz
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,34,1:2 Tor für Weiler,Oğuzhan Kaylesiz
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,31,0:2 Tor für Schifflingen,Hamza Mourchid
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,14,0:1 Tor für Schifflingen,Mohamed Akab
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,1,Anpfiff,präsentiert von
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,1,:1,-
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,News 🤓📝,3.Spieltag: Torfestivals in der Ehrenpromotion!,-
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,46,Anpfiff zur 2. Halbzeit,-
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,37,Halbzeit,-
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,Die Aufstellung für FC Schifflingen 95 ist eingetragen! 💪,AUFSTELLUNG CHECKEN,-
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,0,Gelb für Schifflingen,Luiz Fernando Gomes Fermal
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,Die Aufstellung für FC Yellow Boys Weiler-zum-Turm ist eingetragen! 💪,AUFSTELLUNG CHECKEN,-
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,Der Liveticker ist gesichert! 🙌,Alle Infos und Geschehnisse zum Spiel gibts live von:,Guy Nennig
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,News 🤓📝,Ehrenpromotion: Spitzentrio vor Härtetests,-
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,News 🤓📝,Alle Ergebnisse vom Sonntag,-
https://www.fupa.net/match/fc-yellow-boys-weiler-zum-turm-m1-fc-schifflingen-95-m1-210829,Schau dir hier nochmal alle bisherigen Spiele FC Yellow Boys Weiler-zum-Turm gegen FC Schi,👉,ZU DEN DUELLEN
https://www.fupa.net/match/fc-schifflingen-95-m1-un-kaeerjeng-97-m1-211121,90+9,Abpfiff,präsentiert von
https://www.fupa.net/match/fc-schifflingen-95-m1-un-kaeerjeng-97-m1-211121,86,Wechsel bei Schifflingen,Emir Erovic für Kelton Silverio Cabral Tavares
https://www.fupa.net/match/fc-schifflingen-95-m1-un-kaeerjeng-97-m1-211121,73,2:2 Tor für Käerjeng,Pit Hess
https://www.fupa.net/match/fc-schifflingen-95-m1-un-kaeerjeng-97-m1-211121,70,Wechsel bei Käerjeng,Stephane Gomes für Sam Loes
https://www.fupa.net/match/fc-schifflingen-95-m1-un-kaeerjeng-97-m1-211121,70,2:1 Tor für Käerjeng,Valerio Barbaro
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,11,0:1 Tor für Junglinster,Rafaël Rodrigues
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,1,Anpfiff,präsentiert von
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,0,-,-
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,0,-,-
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,News 🤓📝,Ehrenpromotion: Käerjeng allein auf weiter Flur,-
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,53,Gelb für Mersch,Mohamed Baizidi
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,46,Anpfiff zur 2. Halbzeit,-
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,45+3,Halbzeit,-
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,45,Gelb für Mersch,Gullit Ramos
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,Die Aufstellung für FC Jeunesse Junglinster ist eingetragen! 💪,AUFSTELLUNG CHECKEN,-
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,Die Aufstellung für FC Marisca Mersch ist eingetragen! 💪,AUFSTELLUNG CHECKEN,-
https://www.fupa.net/match/fc-marisca-mersch-m1-fc-jeunesse-junglinster-m1-211010,News 🤓📝,Ehrenpromotion: Spitzenspiel in Mamer,-
